Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
D61	184504	0	0	0	0	0	0	0	131518	0	71.28	nan	184504	0	92252	0	92252	0	102274	0	55.43	nan	107668	0	23850	0	12.93	nan	3106	0	1486	0	184504
D62	97190	0	0	0	0	0	0	0	69444	0	71.45	nan	97190	0	48595	0	48595	0	53896	0	55.45	nan	57058	0	12386	0	12.74	nan	1752	0	888	0	97190
D63	50610	0	0	0	0	0	0	0	36380	0	71.88	nan	50610	0	25305	0	25305	0	28248	0	55.82	nan	29966	0	6414	0	12.67	nan	1040	0	520	0	50610
D64	178200	0	0	0	0	0	0	0	126495	0	70.98	nan	178200	0	89100	0	89100	0	98074	0	55.04	nan	103596	0	22899	0	12.85	nan	3182	0	1513	0	178200
D65	970180	0	0	0	0	0	0	0	675250	0	69.6	nan	970180	0	485090	0	485090	0	497670	0	51.3	nan	542010	0	133240	0	13.73	nan	19048	0	9271	0	970180
D66	818	0	0	0	0	0	0	0	535	0	65.4	nan	818	0	409	0	409	0	392	0	47.92	nan	416	0	119	0	14.55	nan	14	0	4	0	818
D67	1020	0	0	0	0	0	0	0	810	0	79.41	nan	1020	0	510	0	510	0	278	0	27.25	nan	688	0	122	0	11.96	nan	372	0	4	0	1020
D68	366	0	0	0	0	0	0	0	260	0	71.04	nan	366	0	183	0	183	0	190	0	51.91	nan	206	0	54	0	14.75	nan	12	0	8	0	366
D69	86	0	0	0	0	0	0	0	49	0	56.98	nan	86	0	43	0	43	0	40	0	46.51	nan	40	0	9	0	10.47	nan	0	0	0	0	86
D7	63816	0	0	0	0	0	0	0	43366	0	67.95	nan	63816	0	31908	0	31908	0	33328	0	52.23	nan	35102	0	8264	0	12.95	nan	970	0	423	0	63816
D70	298672	0	0	0	0	0	0	0	167864	0	56.2	nan	298672	0	149336	0	149336	0	123276	0	41.27	nan	134250	0	33614	0	11.25	nan	5106	0	2454	0	298672
D71	494084	0	0	0	0	0	0	0	265327	0	53.7	nan	494084	0	247042	0	247042	0	195824	0	39.63	nan	213318	0	52009	0	10.53	nan	8090	0	3854	0	494084
D72	25866	0	0	0	0	0	0	0	16667	0	64.44	nan	25866	0	12933	0	12933	0	13000	0	50.26	nan	13654	0	3013	0	11.65	nan	334	0	149	0	25866
D73	31454	0	0	0	0	0	0	0	21820	0	69.37	nan	31454	0	15727	0	15727	0	16704	0	53.11	nan	17754	0	4066	0	12.93	nan	616	0	287	0	31454
D74	11802	0	0	0	0	0	0	0	8220	0	69.65	nan	11802	0	5901	0	5901	0	6236	0	52.84	nan	6598	0	1622	0	13.74	nan	204	0	89	0	11802
D75	77216	0	0	0	0	0	0	0	54625	0	70.74	nan	77216	0	38608	0	38608	0	42296	0	54.78	nan	44562	0	10063	0	13.03	nan	1280	0	580	0	77216
D76	66934	0	0	0	0	0	0	0	47693	0	71.25	nan	66934	0	33467	0	33467	0	36732	0	54.88	nan	38994	0	8699	0	13.0	nan	1292	0	550	0	66934
D77	55192	0	0	0	0	0	0	0	38901	0	70.48	nan	55192	0	27596	0	27596	0	29936	0	54.24	nan	31640	0	7261	0	13.16	nan	1054	0	494	0	55192
D78	148202	0	0	0	0	0	0	0	105345	0	71.08	nan	148202	0	74101	0	74101	0	81822	0	55.21	nan	86076	0	19269	0	13.0	nan	2428	0	1066	0	148202
D79	61806	0	0	0	0	0	0	0	43189	0	69.88	nan	61806	0	30903	0	30903	0	33044	0	53.46	nan	35058	0	8131	0	13.16	nan	1080	0	459	0	61806
D8	186820	0	0	0	0	0	0	0	132195	0	70.76	nan	186820	0	93410	0	93410	0	102722	0	54.98	nan	108060	0	24135	0	12.92	nan	3078	0	1310	0	186820
D80	132120	0	0	0	0	0	0	0	93456	0	70.74	nan	132120	0	66060	0	66060	0	72734	0	55.05	nan	76292	0	17164	0	12.99	nan	2032	0	878	0	132120
D81	173906	0	0	0	0	0	0	0	122686	0	70.55	nan	173906	0	86953	0	86953	0	95268	0	54.78	nan	100446	0	22240	0	12.79	nan	2868	0	1251	0	173906
