,sampID,elongata_L,elongata_H,sublineata_L,sublineata_H,carinulata_L,carinulata_H,carinata_L,carinata_H,elongata,sublineata,carinulata,carinata,popID
178,F34,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,8OK
179,F35,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,8OK
180,F36,0,0.001,0,0.002,0,0.001,0.998,1,0,0,0,1,8OK
181,F37,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
182,F38,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
183,F39,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
184,F4,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
185,F41,0,0.001,0,0.015,0,0.001,0.985,1,0,0.002,0,0.998,6KS
186,F42,0,0.001,0,0.002,0,0.001,0.997,1,0,0,0,0.999,6KS
187,F43,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,6KS
188,F44,0,0.001,0,0.002,0,0.001,0.997,1,0,0,0,1,6KS
189,F45,0,0.001,0,0.002,0,0.001,0.997,1,0,0,0,1,8OK
190,F46,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,8OK
191,F47,0,0.001,0,0.002,0,0.001,0.996,1,0,0,0,0.999,8OK
192,F48,0,0.001,0,0.002,0,0.001,0.997,1,0,0,0,1,8OK
193,F49,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
194,F5,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
195,F50,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
196,F51,0,0.002,0,0.003,0.995,1,0,0.001,0,0,0.999,0,5CO
197,F52,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
198,F54,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
199,F55,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,8OK
200,F56,0,0.001,0,0.002,0,0.001,0.997,1,0,0,0,0.999,8OK
201,F57,0,0.001,0,0.002,0,0.001,0.998,1,0,0,0,1,8OK
202,F58,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,8OK
203,F59,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
