sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
F2	223802	174038	0.778	86875	10578	0	39186	0	0
F20	69964	31919	0.456	15917	2135	0	35910	0	0
F21	58030	23561	0.406	11744	1632	0	32837	0	0
F22	197196	171576	0.870	85608	9820	0	15800	0	0
F23	129668	92799	0.716	46283	5696	0	31173	0	0
F24	108876	90104	0.828	44848	5405	0	13367	0	0
F25	223040	190768	0.855	95131	11346	0	20926	0	0
F26	301280	206146	0.684	102915	11574	0	83560	0	0
F27	353446	233977	0.662	116660	13522	0	105947	0	0
F28	55398	19231	0.347	9600	1447	0	34720	0	0
F29	102486	33989	0.332	16919	26876	0	41621	0	0
F3	16218	2988	0.184	1503	450	0	12780	0	0
F30	134626	46380	0.345	22949	36855	0	51391	0	0
F31	16528	5287	0.320	2617	3884	0	7357	0	0
F32	108456	8096	0.075	4019	7011	0	93349	0	0
F33	73588	27055	0.368	13424	22070	0	24463	0	0
F34	172938	65151	0.377	32297	50998	0	56789	0	0
F35	188938	74723	0.395	37008	59573	0	54642	0	0
F36	48030	19813	0.413	9833	16105	0	12112	0	0
F37	191294	176248	0.921	88010	9710	0	5336	0	0
F38	98456	71262	0.724	35536	4856	0	22338	0	0
F39	49074	31731	0.647	15851	2225	0	15118	0	0
F4	114706	85717	0.747	42794	6044	0	22945	0	0
F40	18684	9772	0.523	4874	761	0	8151	0	0
F41	155610	61555	0.396	30581	47512	0	46543	0	0
F42	126134	49196	0.390	24387	39968	0	36970	0	0
F43	174992	70599	0.403	35089	55597	0	48796	0	0
F44	134578	52965	0.394	26174	42534	0	39079	0	0
F45	40984	16483	0.402	8234	13837	0	10664	0	0
F46	75682	30300	0.400	15070	25780	0	19602	0	0
F47	35624	13823	0.388	6860	12390	0	9411	0	0
F48	88400	34646	0.392	17186	29115	0	24639	0	0
F49	57940	30410	0.525	15191	2174	0	25356	0	0
F5	235620	198249	0.841	98809	12227	0	25144	0	0
F50	261532	132865	0.508	66330	7458	0	121209	0	0
F51	84014	43309	0.515	21613	2988	0	37717	0	0
F52	91006	54299	0.597	27072	3668	0	33039	0	0
F53	542	338	0.624	168	28	0	176	0	0
F54	50330	19161	0.381	9533	16003	0	15166	0	0
F55	85192	33860	0.397	16843	28478	0	22854	0	0
F56	51736	20827	0.403	10299	17703	0	13206	0	0
F57	215448	89151	0.414	44193	69971	0	56326	0	0
F58	259502	105116	0.405	52163	85832	0	68554	0	0
F59	265472	177780	0.670	88737	10084	0	77608	0	0
F6	9692	2847	0.294	1418	269	0	6576	0	0
F60	108058	80685	0.747	40226	4980	0	22393	0	0
F61	72468	43781	0.604	21857	2935	0	25752	0	0
F62	244216	173916	0.712	86824	10248	0	60052	0	0
F63	135480	54776	0.404	27211	44285	0	36419	0	0
F64	192712	77791	0.404	38409	60756	0	54165	0	0
F65	80410	29837	0.371	14655	24635	0	25938	0	0
F66	216232	82565	0.382	40673	70511	0	63156	0	0
F67	73118	29143	0.399	14489	24316	0	19659	0	0
F68	121316	51105	0.421	25336	35903	0	34308	0	0
F69	170774	72006	0.422	35767	53496	0	45272	0	0
F7	19844	2237	0.113	1151	1722	0	15885	0	0
F70	111742	44581	0.399	22101	37260	0	29901	0	0
F71	243026	92443	0.380	45983	5581	0	145002	0	0
F72	150036	74032	0.493	36957	4681	0	71323	0	0
F73	347370	95472	0.275	47703	6720	0	245178	0	0
F74	47270	42462	0.898	21177	2850	0	1958	0	0
F75	173008	66926	0.387	33211	48902	0	57180	0	0
F76	181188	74067	0.409	36704	54807	0	52314	0	0
F77	49760	20212	0.406	9970	15092	0	14456	0	0
F78	147768	58019	0.393	28855	45536	0	44213	0	0
F79	67506	26660	0.395	13195	23076	0	17770	0	0
F8	29580	6718	0.227	3353	600	0	22262	0	0
F80	40122	15691	0.391	7788	13920	0	10511	0	0
F81	167040	67584	0.405	33462	55413	0	44043	0	0
F82	117660	49052	0.417	24360	38334	0	30274	0	0
F83	134680	55298	0.411	27431	40541	0	38841	0	0
F84	143034	60269	0.421	29834	42097	0	40668	0	0
F85	119106	45298	0.380	22379	38334	0	35474	0	0
F86	37174	14061	0.378	7005	11278	0	11835	0	0
F87	22578	8951	0.396	4471	7107	0	6520	0	0
F88	107656	42683	0.396	21180	34359	0	30614	0	0
F89	136438	56225	0.412	28002	41653	0	38560	0	0
F9	161212	78176	0.485	39045	5075	0	77961	0	0
F90	81686	33094	0.405	16462	26540	0	22052	0	0
F91_2019	28884	24793	0.858	12046	1422	0	2669	0	0
F92	100654	41639	0.414	20709	31480	0	27535	0	0
F93	54586	21988	0.403	10914	15533	0	17065	0	0
F94	86142	26806	0.311	13334	20521	0	38815	0	0
F95	4538800	1582696	0.349	793932	1597087	0	1359017	0	0
F96	2830432	994208	0.351	498490	985096	0	851128	0	0
G01	457880	180988	0.395	89371	144990	0	131902	0	0
G01_rep	467168	184752	0.395	91373	147618	0	134798	0	0
G1	375848	151396	0.403	75049	118382	0	106070	0	0
G10	214762	89560	0.417	44464	65205	0	59997	0	0
G11	58056	23794	0.410	11770	17111	0	17151	0	0
G12	228482	95784	0.419	47666	67600	0	65098	0	0
G13	114788	43477	0.379	21375	37738	0	33573	0	0
G14	65446	25394	0.388	12472	19885	0	20167	0	0
G15	399392	87688	0.220	43382	74912	0	236792	0	0
G16	17780	6723	0.378	3339	5329	0	5728	0	0
G17_2019	12256	11041	0.901	5412	566	0	649	0	0
G17_rep	796008	732845	0.921	364403	37109	0	26054	0	0
G18_2019	3940	3508	0.890	1731	224	0	208	0	0
G18_rep	318900	288117	0.903	143421	16947	0	13836	0	0
G19	65392	27118	0.415	13344	18418	0	19856	0	0
G2	242884	99413	0.409	49305	75168	0	68303	0	0
G20	365618	108212	0.296	53718	76914	0	180492	0	0
G21	198460	76714	0.387	38058	56805	0	64941	0	0
G22	134336	50197	0.374	24741	33682	0	50457	0	0
G23	73310	31097	0.424	15394	21051	0	21162	0	0
G24	230568	93788	0.407	46215	70320	0	66460	0	0
G25	268286	110241	0.411	54638	80706	0	77339	0	0
G26	209628	86375	0.412	42789	60904	0	62349	0	0
G27	50116	20937	0.418	10368	14449	0	14730	0	0
G28	246524	96998	0.393	48144	71954	0	77572	0	0
G29	133524	56321	0.422	27804	39168	0	38035	0	0
G3	29286	11406	0.389	5614	9128	0	8752	0	0
G30	195808	68159	0.348	33808	47229	0	80420	0	0
G31	45008	18186	0.404	9024	13397	0	13425	0	0
G32	112908	46682	0.413	23075	33838	0	32388	0	0
G33	199552	82816	0.415	41007	61015	0	55721	0	0
G34	234812	98802	0.421	48981	69683	0	66327	0	0
G35	24846	10275	0.414	5038	7135	0	7436	0	0
G36	184514	79103	0.429	39305	54215	0	51196	0	0
G37	184020	78218	0.425	38701	54524	0	51278	0	0
G38	133792	55873	0.418	27581	40583	0	37336	0	0
G39	44396	18658	0.420	9153	12794	0	12944	0	0
G4	215730	84058	0.390	41408	67604	0	64068	0	0
G40	88032	36091	0.410	17992	26668	0	25273	0	0
G41	212152	83473	0.393	41317	62387	0	66292	0	0
G41_rep	253790	97500	0.384	48400	76522	0	79768	0	0
G42	122794	51205	0.417	25400	37196	0	34393	0	0
G43	77618	32364	0.417	15926	22933	0	22321	0	0
G44	196846	80587	0.409	39845	60745	0	55514	0	0
G45	141824	58237	0.411	28739	44061	0	39526	0	0
G46	156192	64650	0.414	31916	48980	0	42562	0	0
G47_rep	480706	253819	0.528	126403	14306	0	212581	0	0
G48_rep	108954	46777	0.429	24027	29779	0	32398	0	0
G49	183818	70752	0.385	35039	51480	0	61586	0	0
G50	176640	72521	0.411	35879	53587	0	50532	0	0
G51	16696	6832	0.409	3366	4955	0	4909	0	0
G52	310096	129270	0.417	63977	93386	0	87440	0	0
G53	103010	42714	0.415	21268	30949	0	29347	0	0
G54	23100	9668	0.419	4777	6638	0	6794	0	0
G55	59372	24454	0.412	12178	17655	0	17263	0	0
G56	40848	16907	0.414	8414	12155	0	11786	0	0
G57	201148	78046	0.388	38218	64870	0	58232	0	0
G58	198782	76801	0.386	37681	64084	0	57897	0	0
G59	53844	21495	0.399	10564	16511	0	15838	0	0
G5_rep	251130	159888	0.637	79693	47248	0	43994	0	0
G6	233644	97257	0.416	48071	69026	0	67361	0	0
G60	211318	82486	0.390	40688	66892	0	61940	0	0
G61	123346	51459	0.417	25516	35994	0	35893	0	0
G62	155622	64737	0.416	31995	47240	0	43645	0	0
G63	75922	31913	0.420	15728	21652	0	22357	0	0
G64	24462	10132	0.414	5009	7189	0	7141	0	0
G65	84584	34076	0.403	16808	26735	0	23773	0	0
G66	80708	32111	0.398	15820	22384	0	26213	0	0
G67	18838	7303	0.388	3623	6142	0	5393	0	0
G68	174084	73965	0.425	36630	51407	0	48712	0	0
G69	80700	33489	0.415	16568	24446	0	22765	0	0
G70	92116	36984	0.401	18170	28117	0	27015	0	0
G71	81120	33289	0.410	16497	23760	0	24071	0	0
G72	80800	34195	0.423	16892	23618	0	22987	0	0
G73	131240	50381	0.384	24692	42485	0	38374	0	0
G74	93688	36822	0.393	18187	29359	0	27507	0	0
G75	12638	5194	0.411	2580	3660	0	3784	0	0
G76	232450	89257	0.384	43821	75840	0	67353	0	0
G77	79526	31165	0.392	15325	25182	0	23179	0	0
G78	101996	43195	0.423	21471	30560	0	28241	0	0
G79	56342	24263	0.431	11985	16446	0	15633	0	0
G7_2019	9636	8554	0.888	4138	468	0	614	0	0
G7_rep	458782	420754	0.917	209534	21759	0	16269	0	0
G80	66596	25379	0.381	12514	17912	0	23305	0	0
G81	392438	88749	0.226	44062	66386	0	237303	0	0
G82	145504	59503	0.409	29667	42272	0	43729	0	0
G83	16712	6784	0.406	3326	5205	0	4723	0	0
G84	166926	69845	0.418	34588	51071	0	46010	0	0
G85	167212	70502	0.422	34886	50919	0	45791	0	0
G86	90734	37518	0.413	18642	28751	0	24465	0	0
G87	136104	56919	0.418	28011	41249	0	37936	0	0
G88	82458	34589	0.419	17107	25210	0	22659	0	0
G89	733600	681250	0.929	338870	33782	0	18568	0	0
G8_2019	28976	25343	0.875	12236	1561	0	2072	0	0
G8_rep	287128	253897	0.884	126402	15868	0	17363	0	0
G9	361556	123471	0.341	61425	91736	0	146349	0	0
G90	141754	130874	0.923	65168	7224	0	3656	0	0
G91	3312	2782	0.840	1383	315	0	215	0	0
G92	233704	218092	0.933	108522	10460	0	5152	0	0
G93	1940	694	0.358	342	613	0	633	0	0
G94	39158	16048	0.410	7942	11256	0	11854	0	0
G95	714	226	0.317	114	244	0	244	0	0
G96	256	74	0.289	41	76	0	106	0	0
H1	163594	67802	0.414	33473	52544	0	43248	0	0
H10	84916	34969	0.412	17293	25574	0	24373	0	0
H11_2019	31972	28830	0.902	14120	1507	0	1635	0	0
H11_rep	63734	50410	0.791	25189	6058	0	7266	0	0
H12	174586	60473	0.346	29986	46398	0	67715	0	0
H13	90826	84003	0.925	41822	4563	0	2260	0	0
H14	147552	135879	0.921	67500	7145	0	4528	0	0
H15	81610	75858	0.930	37717	3972	0	1780	0	0
H16	85504	78390	0.917	39013	4246	0	2868	0	0
H17	186402	56101	0.301	27757	43816	0	86485	0	0
